maand,begin_kas,in_omzet,in_overig,uit_cogs,uit_opex,uit_btw,uit_rente,uit_aflossing,eind_kas
2025-10,0.00,2400.00,30000.00,1700.00,3000.00,504.00,225.00,0.00,24471.00
2025-11,24471.00,3600.00,0.00,2550.00,3000.00,756.00,225.00,0.00,21540.00
2025-12,21540.00,4800.00,0.00,3400.00,3000.00,1008.00,225.00,0.00,18707.00
2026-01,18707.00,7200.00,0.00,5100.00,3000.00,1512.00,225.00,0.00,16070.00
2026-02,16070.00,9600.00,0.00,6800.00,3000.00,2016.00,225.00,0.00,13629.00
2026-03,13629.00,10800.00,0.00,7650.00,3000.00,2268.00,225.00,0.00,11286.00
2026-04,11286.00,12000.00,0.00,8500.00,3000.00,2520.00,225.00,610.34,8430.66
2026-05,8430.66,13200.00,0.00,9350.00,3000.00,2772.00,220.42,614.92,5673.32
2026-06,5673.32,14400.00,0.00,10200.00,3000.00,3024.00,215.81,619.53,3013.98
2026-07,3013.98,14400.00,0.00,10200.00,3000.00,3024.00,211.16,624.18,354.64
2026-08,354.64,14400.00,0.00,10200.00,3000.00,3024.00,206.48,628.86,-2304.70
2026-09,-2304.70,14400.00,0.00,10200.00,3000.00,3024.00,201.77,633.57,-4964.04
