maand,verstrekker,rente_pm,aflossing_pm,restschuld
2025-10,Qredits,225.00,0.00,30000.00
2025-11,Qredits,225.00,0.00,30000.00
2025-12,Qredits,225.00,0.00,30000.00
2026-01,Qredits,225.00,0.00,30000.00
2026-02,Qredits,225.00,0.00,30000.00
2026-03,Qredits,225.00,0.00,30000.00
2026-04,Qredits,225.00,610.34,29389.66
2026-05,Qredits,220.42,614.92,28774.74
2026-06,Qredits,215.81,619.53,28155.21
2026-07,Qredits,211.16,624.18,27531.03
2026-08,Qredits,206.48,628.86,26902.17
2026-09,Qredits,201.77,633.57,26268.60
