template_file,placeholder
00_overview.md.tpl,breakeven_omzet_pm
00_overview.md.tpl,btw_model
00_overview.md.tpl,debt_equity_pct
00_overview.md.tpl,dekking_verdict
00_overview.md.tpl,discount_rate_pct
00_overview.md.tpl,dscr_below_1_count
00_overview.md.tpl,dscr_maand_min
00_overview.md.tpl,dscr_min
00_overview.md.tpl,eerste_kas
00_overview.md.tpl,eerste_maand
00_overview.md.tpl,eigen_inbreng
00_overview.md.tpl,eigen_inbreng_pct
00_overview.md.tpl,horizon_maanden
00_overview.md.tpl,irr_project
00_overview.md.tpl,kas_diepste_maand
00_overview.md.tpl,kas_eind
00_overview.md.tpl,kas_waarschuwing
00_overview.md.tpl,laagste_kas
00_overview.md.tpl,laatste_maand
00_overview.md.tpl,maandlast_dekking
00_overview.md.tpl,payback_maanden
00_overview.md.tpl,regime
00_overview.md.tpl,runway_maanden_base
00_overview.md.tpl,runway_maanden_worst
00_overview.md.tpl,scenario
00_overview.md.tpl,start_maand
00_overview.md.tpl,total_financiering
00_overview.md.tpl,total_investering
00_overview.md.tpl,vat_period
00_overview.md.tpl,veiligheidsmarge_pct
10_investering_financiering.md.tpl,debt_equity_pct
10_investering_financiering.md.tpl,fin_eigen
10_investering_financiering.md.tpl,fin_schuld
10_investering_financiering.md.tpl,grace_mnd
10_investering_financiering.md.tpl,hoofdsom
10_investering_financiering.md.tpl,inv_avg_levensduur
10_investering_financiering.md.tpl,inv_count
10_investering_financiering.md.tpl,inv_max_bedrag
10_investering_financiering.md.tpl,inv_max_omschrijving
10_investering_financiering.md.tpl,inv_pct_eigen
10_investering_financiering.md.tpl,inv_pct_schuld
10_investering_financiering.md.tpl,inv_totaal
10_investering_financiering.md.tpl,lening_avg_looptijd
10_investering_financiering.md.tpl,lening_count
10_investering_financiering.md.tpl,lening_maandlasten_gem
10_investering_financiering.md.tpl,leningen
10_investering_financiering.md.tpl,looptijd_mnd
10_investering_financiering.md.tpl,maandlast_dekking
10_investering_financiering.md.tpl,rente_effectief_jaar
10_investering_financiering.md.tpl,rente_nominaal_jr
10_investering_financiering.md.tpl,rente_nominaal_maand
10_investering_financiering.md.tpl,rente_totaal
10_investering_financiering.md.tpl,termijn_bedrag
10_investering_financiering.md.tpl,verstrekker
20_liquiditeit.md.tpl,btw_max_bedrag
20_liquiditeit.md.tpl,btw_max_maand
20_liquiditeit.md.tpl,btw_model
20_liquiditeit.md.tpl,btw_totaal
20_liquiditeit.md.tpl,eerste_maand
20_liquiditeit.md.tpl,kas_begin
20_liquiditeit.md.tpl,kas_buffer_norm
20_liquiditeit.md.tpl,kas_diepste_maand
20_liquiditeit.md.tpl,kas_eind
20_liquiditeit.md.tpl,kas_negatief_count
20_liquiditeit.md.tpl,kas_negatief_verdict
20_liquiditeit.md.tpl,kas_waarschuwing
20_liquiditeit.md.tpl,laagste_kas
20_liquiditeit.md.tpl,laatste_maand
20_liquiditeit.md.tpl,runway_maanden_base
20_liquiditeit.md.tpl,stress_laagste_kas
20_liquiditeit.md.tpl,stress_runway_maanden
20_liquiditeit.md.tpl,vat_period
30_exploitatie.md.tpl,afschrijving_totaal
30_exploitatie.md.tpl,breakeven_omzet_pm
30_exploitatie.md.tpl,brutomarge_pct
30_exploitatie.md.tpl,brutomarge_totaal
30_exploitatie.md.tpl,ebitda_pm_avg
30_exploitatie.md.tpl,horizon_maanden
30_exploitatie.md.tpl,maand_best
30_exploitatie.md.tpl,maand_worst
30_exploitatie.md.tpl,nettowinst_pct
30_exploitatie.md.tpl,omzet_totaal
30_exploitatie.md.tpl,opex_totaal
30_exploitatie.md.tpl,rente_totaal
30_exploitatie.md.tpl,resultaat_best
30_exploitatie.md.tpl,resultaat_vb_totaal
30_exploitatie.md.tpl,resultaat_worst
30_exploitatie.md.tpl,stress_result_avg
30_exploitatie.md.tpl,stress_verdict
30_exploitatie.md.tpl,stress_verlies_maanden
30_exploitatie.md.tpl,veiligheidsmarge_pct
30_exploitatie.md.tpl,verlies_maanden
30_exploitatie.md.tpl,verlies_verdict
