month,balance_start_eur,interest_eur,principal_eur,payment_eur,balance_end_eur
1,30000.0,248.75,500.0,748.75,29500.0
2,29500.0,248.75,500.0,748.75,29000.0
3,29000.0,248.75,500.0,748.75,28500.0
4,28500.0,248.75,500.0,748.75,28000.0
5,28000.0,248.75,500.0,748.75,27500.0
6,27500.0,248.75,500.0,748.75,27000.0
7,27000.0,248.75,500.0,748.75,26500.0
8,26500.0,248.75,500.0,748.75,26000.0
9,26000.0,248.75,500.0,748.75,25500.0
10,25500.0,248.75,500.0,748.75,25000.0
11,25000.0,248.75,500.0,748.75,24500.0
12,24500.0,248.75,500.0,748.75,24000.0
13,24000.0,248.75,500.0,748.75,23500.0
14,23500.0,248.75,500.0,748.75,23000.0
15,23000.0,248.75,500.0,748.75,22500.0
16,22500.0,248.75,500.0,748.75,22000.0
17,22000.0,248.75,500.0,748.75,21500.0
18,21500.0,248.75,500.0,748.75,21000.0
19,21000.0,248.75,500.0,748.75,20500.0
20,20500.0,248.75,500.0,748.75,20000.0
21,20000.0,248.75,500.0,748.75,19500.0
22,19500.0,248.75,500.0,748.75,19000.0
23,19000.0,248.75,500.0,748.75,18500.0
24,18500.0,248.75,500.0,748.75,18000.0
25,18000.0,248.75,500.0,748.75,17500.0
26,17500.0,248.75,500.0,748.75,17000.0
27,17000.0,248.75,500.0,748.75,16500.0
28,16500.0,248.75,500.0,748.75,16000.0
29,16000.0,248.75,500.0,748.75,15500.0
30,15500.0,248.75,500.0,748.75,15000.0
31,15000.0,248.75,500.0,748.75,14500.0
32,14500.0,248.75,500.0,748.75,14000.0
33,14000.0,248.75,500.0,748.75,13500.0
34,13500.0,248.75,500.0,748.75,13000.0
35,13000.0,248.75,500.0,748.75,12500.0
36,12500.0,248.75,500.0,748.75,12000.0
37,12000.0,248.75,500.0,748.75,11500.0
38,11500.0,248.75,500.0,748.75,11000.0
39,11000.0,248.75,500.0,748.75,10500.0
40,10500.0,248.75,500.0,748.75,10000.0
41,10000.0,248.75,500.0,748.75,9500.0
42,9500.0,248.75,500.0,748.75,9000.0
43,9000.0,248.75,500.0,748.75,8500.0
44,8500.0,248.75,500.0,748.75,8000.0
45,8000.0,248.75,500.0,748.75,7500.0
46,7500.0,248.75,500.0,748.75,7000.0
47,7000.0,248.75,500.0,748.75,6500.0
48,6500.0,248.75,500.0,748.75,6000.0
49,6000.0,248.75,500.0,748.75,5500.0
50,5500.0,248.75,500.0,748.75,5000.0
51,5000.0,248.75,500.0,748.75,4500.0
52,4500.0,248.75,500.0,748.75,4000.0
53,4000.0,248.75,500.0,748.75,3500.0
54,3500.0,248.75,500.0,748.75,3000.0
55,3000.0,248.75,500.0,748.75,2500.0
56,2500.0,248.75,500.0,748.75,2000.0
57,2000.0,248.75,500.0,748.75,1500.0
58,1500.0,248.75,500.0,748.75,1000.0
59,1000.0,248.75,500.0,748.75,500.0
60,500.0,248.75,500.0,748.75,0.0
