model,gpu,tps,eur_hr_min,eur_hr_med,eur_hr_max,cost_per_1m_min,cost_per_1m_med,cost_per_1m_max,sell_per_1m_eur,margin_per_1m_min,margin_per_1m_med,margin_per_1m_max,gross_margin_pct_med
Llama-3.1-8B,RTX 3090,1878.95,0.454,0.9401,1.4263,0.0671,0.139,0.2109,150.0,149.9329,149.861,149.7891,99.91
Llama-3.1-70B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,1500.0,1493.6941,1486.9425,1480.191,99.13
Mixtral-8x7B,RTX 3090,62.5,0.454,0.9401,1.4263,2.0179,4.1784,6.3389,390.0,387.9821,385.8216,383.6611,98.93
Mixtral-8x22B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,1350.0,1343.6941,1336.9425,1330.191,99.03
Qwen2.5-7B,RTX 3090,524.96,0.454,0.9401,1.4263,0.2402,0.4975,0.7547,120.0,119.7598,119.5025,119.2453,99.59
Qwen2.5-32B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,800.0,793.6941,786.9425,780.191,98.37
Qwen2.5-72B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,1600.0,1593.6941,1586.9425,1580.191,99.18
Yi-1.5-6B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,100.0,93.6941,86.9425,80.191,86.94
Yi-1.5-9B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,140.0,133.6941,126.9425,120.191,90.67
Yi-1.5-34B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,900.0,893.6941,886.9425,880.191,98.55
DeepSeek-Coder-6.7B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,160.0,153.6941,146.9425,140.191,91.84
DeepSeek-Coder-33B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,1300.0,1293.6941,1286.9425,1280.191,99.0
DeepSeek-Coder-V2-16B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,300.0,293.6941,286.9425,280.191,95.65
DeepSeek-Coder-V2-236B,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,2500.0,2493.6941,2486.9425,2480.191,99.48
private_tap_management_fee,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,0.0,0.0,0.0,0.0,0.0
private_tap_gpu_hour_markup,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,0.0,0.0,0.0,0.0,0.0
priority_applets,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,0.0,0.0,0.0,0.0,0.0
oss_support_tier,RTX 3090,20.0,0.454,0.9401,1.4263,6.3059,13.0575,19.809,0.0,0.0,0.0,0.0,0.0
