month,revenue_eur,inflow_eur,cogs_eur,marketing_eur,fixed_eur,fees_eur,net_eur,active_paid,mrr_est
1,4126.79,6190.18,1699.28,2000.0,3748.75,105.08,-3426.32,7.8,2418.0
2,3950.87,3687.0,1626.84,1900.0,3748.75,62.59,-3387.31,15.0,4651.08
3,4056.79,4215.67,1670.45,1960.0,3748.75,71.56,-3393.97,22.14,6862.77
4,5387.24,4231.78,2154.91,2000.0,3748.75,71.83,-2588.25,29.14,9033.71
5,5542.77,4527.62,2219.19,2100.0,3748.75,76.86,-2602.02,36.17,11214.12
6,5702.04,4678.06,2284.63,2200.0,3748.75,79.41,-2610.74,43.23,13400.86
7,5856.42,4824.66,2348.1,2300.0,3748.75,81.9,-2622.33,50.29,15590.92
8,5708.25,4214.79,2286.87,2200.0,3748.75,71.55,-2598.91,56.84,17620.09
9,5556.05,4052.56,2223.99,2100.0,3748.75,68.79,-2585.48,62.88,19491.39
10,5399.74,3886.29,2159.42,2000.0,3748.75,65.97,-2574.4,68.41,21207.7
11,5219.8,3687.0,2085.53,1900.0,3748.75,62.59,-2577.07,73.43,22764.35
12,5551.88,4791.49,2222.48,2100.0,3748.75,81.34,-2600.69,78.87,24450.46
13,5387.24,3886.29,2154.91,2000.0,3748.75,65.97,-2582.38,83.83,25988.24
14,5206.52,3687.0,2080.73,1900.0,3748.75,62.59,-2585.55,88.3,27372.8
15,5321.55,4215.67,2127.64,1960.0,3748.75,71.56,-2586.4,92.8,28766.5
16,5387.24,4231.78,2154.91,2000.0,3748.75,71.83,-2588.25,97.25,30148.91
17,5542.77,4527.62,2219.19,2100.0,3748.75,76.86,-2602.02,101.84,31569.18
18,5702.04,4678.06,2284.63,2200.0,3748.75,79.41,-2610.74,106.53,33023.13
19,5856.42,4824.66,2348.1,2300.0,3748.75,81.9,-2622.33,111.31,34506.79
20,5708.25,4214.79,2286.87,2200.0,3748.75,71.55,-2598.91,115.66,35854.98
21,5556.05,4052.56,2223.99,2100.0,3748.75,68.79,-2585.48,119.58,37069.83
22,5399.74,3886.29,2159.42,2000.0,3748.75,65.97,-2574.4,123.08,38153.32
23,5219.8,3687.0,2085.53,1900.0,3748.75,62.59,-2577.07,126.13,39099.93
24,5551.88,4791.49,2222.48,2100.0,3748.75,81.34,-2600.69,129.67,40197.96
