key,type,values,min,max,step,default,min_idx,max_idx,step_idx,default_idx,unit,treatment
demand.rps,numeric,,0.5,10.0,0.5,2.0,,,,requests_per_second,random
demand.popularity_zipf_k,numeric,,0.9,1.5,0.05,1.1,,,,,random
request.seq_len_tokens,numeric,,1024,32768,1024,8192,,,,tokens,low_to_high
request.batch_size,numeric,,1,4,1,1,,,,requests,low_to_high
request.io_length_multiplier,numeric,,0.75,1.5,0.05,1.0,,,,,random
serving.kv_precision,discrete,"fp16|fp8|int8",,,,,0,0,2,1,,low_to_high
serving.tool_calling.require_native,discrete,"false|true",,,,,0,0,1,0,,fixed
autoscale.target_utilization,numeric,,0.40,0.90,0.05,0.60,,,,,low_to_high
autoscale.cooldown_seconds,numeric,,60,900,60,300,,,,seconds,low_to_high
autoscale.step_nodes,numeric,,1,4,1,1,,,,nodes,fixed
autoscale.spot_fraction_target,numeric,,0.0,1.0,0.1,0.7,,,,,low_to_high
sla.latency_ms_p95,numeric,,500,5000,250,1500,,,,ms,low_to_high
pricing.price_per_1k_input_tokens_usd,numeric,,0.0005,0.0050,0.0005,0.0015,,,,usd,low_to_high
pricing.price_per_1k_output_tokens_usd,numeric,,0.0010,0.0100,0.0010,0.0030,,,,usd,low_to_high
market.spot_eviction_rate,numeric,,0.00,0.20,0.01,0.05,,,,,random
market.price_multiplier_consumer_gpu,numeric,,0.8,1.3,0.05,1.0,,,,,random
infra.bandwidth_gbps,numeric,,5,100,5,20,,,,gbps,random
infra.disk_io_gbps,numeric,,0.5,8.0,0.5,2.0,,,,gbps,random
market.spot_interruption_pattern,discrete,"none|daily_spike|weekly_spike|noisy",,,,,1,0,3,1,,random
run.horizon_days,numeric,,1,365,1,60,,,,days,fixed
run.tick_seconds,numeric,,1,60,1,1,,,,seconds,fixed
