maand,begin_kas,in_omzet,in_overig,uit_cogs,uit_opex,uit_btw,uit_rente,uit_aflossing,eind_kas
2025-10,0.00,60.00,25000.00,42.50,1670.00,12.60,150.00,347.70,17337.20
2025-11,17337.20,90.00,0.00,63.75,1670.00,18.90,147.39,350.31,15176.85
2025-12,15176.85,120.00,0.00,85.00,1670.00,25.20,144.76,352.94,13018.95
2026-01,13018.95,150.00,0.00,106.25,1670.00,31.50,142.12,355.58,10863.50
2026-02,10863.50,180.00,0.00,127.50,1670.00,37.80,139.45,358.25,8710.50
2026-03,8710.50,210.00,0.00,148.75,1670.00,44.10,136.76,360.94,6559.95
2026-04,6559.95,240.00,0.00,170.00,1670.00,50.40,134.06,363.64,4411.85
2026-05,4411.85,270.00,0.00,191.25,1670.00,56.70,131.33,366.37,2266.20
2026-06,2266.20,300.00,0.00,212.50,1670.00,63.00,128.58,369.12,123.00
2026-07,123.00,330.00,0.00,233.75,1670.00,69.30,125.81,371.89,-2017.75
2026-08,-2017.75,360.00,0.00,255.00,1670.00,75.60,123.02,374.68,-4156.05
2026-09,-4156.05,390.00,0.00,276.25,1670.00,81.90,120.21,377.49,-6291.90
