maand,verstrekker,rente_pm,aflossing_pm,restschuld
2026-01,Qredits,116.67,0.00,20000.00
2026-02,Qredits,116.67,0.00,20000.00
2026-03,Qredits,116.67,0.00,20000.00
2026-04,Qredits,116.67,296.78,19703.22
2026-05,Qredits,114.93,298.52,19404.70
2026-06,Qredits,113.19,300.26,19104.44
2026-07,Qredits,111.44,302.01,18802.43
2026-08,Qredits,109.68,303.77,18498.66
2026-09,Qredits,107.91,305.54,18193.12
2026-10,Qredits,106.13,307.32,17885.80
2026-11,Qredits,104.33,309.12,17576.68
2026-12,Qredits,102.53,310.92,17265.76
