template_file,placeholder,type,match_text,start_index,end_index
00_overview.md.tpl,breakeven_omzet_pm,variable,{{breakeven_omzet_pm}},1527,1549
00_overview.md.tpl,btw_model,variable,{{btw_model}},408,421
00_overview.md.tpl,debt_equity_pct,variable,{{debt_equity_pct}},682,701
00_overview.md.tpl,dekking_verdict,variable,{{dekking_verdict}},1461,1480
00_overview.md.tpl,discount_rate_pct,variable,{{discount_rate_pct}},843,864
00_overview.md.tpl,dscr_below_1_count,variable,{{dscr_below_1_count}},1395,1417
00_overview.md.tpl,dscr_maand_min,variable,{{dscr_maand_min}},1363,1381
00_overview.md.tpl,dscr_min,variable,{{dscr_min}},1341,1353
00_overview.md.tpl,eerste_kas,variable,{{eerste_kas}},957,971
00_overview.md.tpl,eerste_maand,variable,{{eerste_maand}},281,297
00_overview.md.tpl,eigen_inbreng,variable,{{eigen_inbreng}},593,610
00_overview.md.tpl,eigen_inbreng_pct,variable,{{eigen_inbreng_pct}},612,633
00_overview.md.tpl,horizon_maanden,variable,{{horizon_maanden}},248,267
00_overview.md.tpl,horizon_maanden,variable,{{horizon_maanden}},1083,1102
00_overview.md.tpl,irr_project,variable,{{irr_project}},805,820
00_overview.md.tpl,kas_diepste_maand,variable,{{kas_diepste_maand}},1017,1038
00_overview.md.tpl,kas_eind,variable,{{kas_eind}},1112,1124
00_overview.md.tpl,kas_waarschuwing,variable,{{kas_waarschuwing}},1040,1060
00_overview.md.tpl,laagste_kas,variable,{{laagste_kas}},992,1007
00_overview.md.tpl,laatste_maand,variable,{{laatste_maand}},309,326
00_overview.md.tpl,maandlast_dekking,variable,{{maandlast_dekking}},1303,1324
00_overview.md.tpl,payback_maanden,variable,{{payback_maanden}},746,765
00_overview.md.tpl,regime,variable,{{regime}},380,390
00_overview.md.tpl,runway_maanden_base,variable,{{runway_maanden_base}},1153,1176
00_overview.md.tpl,runway_maanden_worst,variable,{{runway_maanden_worst}},1185,1209
00_overview.md.tpl,scenario,variable,{{scenario}},344,356
00_overview.md.tpl,start_maand,variable,{{start_maand}},939,954
00_overview.md.tpl,total_financiering,variable,{{total_financiering}},553,575
00_overview.md.tpl,total_investering,variable,{{total_investering}},508,529
00_overview.md.tpl,vat_period,variable,{{vat_period}},436,450
00_overview.md.tpl,veiligheidsmarge_pct,variable,{{veiligheidsmarge_pct}},1597,1621
10_investering_financiering.md.tpl,leningen,section_end,{{/leningen}},1553,1566
10_investering_financiering.md.tpl,leningen,section_start,{{#leningen}},1156,1169
10_investering_financiering.md.tpl,debt_equity_pct,variable,{{debt_equity_pct}},1044,1063
10_investering_financiering.md.tpl,fin_eigen,variable,{{fin_eigen}},934,947
10_investering_financiering.md.tpl,fin_schuld,variable,{{fin_schuld}},967,981
10_investering_financiering.md.tpl,grace_mnd,variable,{{grace_mnd}},1368,1381
10_investering_financiering.md.tpl,hoofdsom,variable,{{hoofdsom}},1206,1218
10_investering_financiering.md.tpl,inv_avg_levensduur,variable,{{inv_avg_levensduur}},444,466
10_investering_financiering.md.tpl,inv_count,variable,{{inv_count}},351,364
10_investering_financiering.md.tpl,inv_max_bedrag,variable,{{inv_max_bedrag}},525,543
10_investering_financiering.md.tpl,inv_max_omschrijving,variable,{{inv_max_omschrijving}},499,523
10_investering_financiering.md.tpl,inv_pct_eigen,variable,{{inv_pct_eigen}},1887,1904
10_investering_financiering.md.tpl,inv_pct_schuld,variable,{{inv_pct_schuld}},1959,1977
10_investering_financiering.md.tpl,inv_totaal,variable,{{inv_totaal}},394,408
10_investering_financiering.md.tpl,lening_avg_looptijd,variable,{{lening_avg_looptijd}},1096,1119
10_investering_financiering.md.tpl,lening_count,variable,{{lening_count}},1001,1017
10_investering_financiering.md.tpl,lening_maandlasten_gem,variable,{{lening_maandlasten_gem}},2020,2046
10_investering_financiering.md.tpl,looptijd_mnd,variable,{{looptijd_mnd}},1233,1249
10_investering_financiering.md.tpl,maandlast_dekking,variable,{{maandlast_dekking}},2088,2109
10_investering_financiering.md.tpl,rente_effectief_jaar,variable,{{rente_effectief_jaar}},1470,1494
10_investering_financiering.md.tpl,rente_nominaal_jr,variable,{{rente_nominaal_jr}},1269,1290
10_investering_financiering.md.tpl,rente_nominaal_maand,variable,{{rente_nominaal_maand}},1313,1337
10_investering_financiering.md.tpl,rente_totaal,variable,{{rente_totaal}},1534,1550
10_investering_financiering.md.tpl,termijn_bedrag,variable,{{termijn_bedrag}},1409,1427
10_investering_financiering.md.tpl,verstrekker,variable,{{verstrekker}},1174,1189
20_liquiditeit.md.tpl,btw_max_bedrag,variable,{{btw_max_bedrag}},893,911
20_liquiditeit.md.tpl,btw_max_maand,variable,{{btw_max_maand}},913,930
20_liquiditeit.md.tpl,btw_model,variable,{{btw_model}},755,768
20_liquiditeit.md.tpl,btw_totaal,variable,{{btw_totaal}},844,858
20_liquiditeit.md.tpl,eerste_maand,variable,{{eerste_maand}},408,424
20_liquiditeit.md.tpl,kas_begin,variable,{{kas_begin}},385,398
20_liquiditeit.md.tpl,kas_buffer_norm,variable,{{kas_buffer_norm}},1537,1556
20_liquiditeit.md.tpl,kas_diepste_maand,variable,{{kas_diepste_maand}},529,550
20_liquiditeit.md.tpl,kas_eind,variable,{{kas_eind}},444,456
20_liquiditeit.md.tpl,kas_negatief_count,variable,{{kas_negatief_count}},674,696
20_liquiditeit.md.tpl,kas_negatief_verdict,variable,{{kas_negatief_verdict}},698,722
20_liquiditeit.md.tpl,kas_waarschuwing,variable,{{kas_waarschuwing}},552,572
